1980 	Mai 	73 984
1980 	Avril 	68 442
1980 	Mars 	67 017
1980 	Février 	60 354
1980 	Janvier 	63 538
1979 	Décembre 	61 797
1979 	Novembre 	59 927
1979 	Octobre 	63 552
1979 	Septembre 	60 918
1979 	Août 	62 044
1979 	Juillet 	66 988
1979 	Juin 	65 426
1979 	Mai 	70 959
1979 	Avril 	66 351
1979 	Mars 	63 479
1979 	Février 	55 932
1979 	Janvier 	59 981
1978 	Décembre 	59 464
1978 	Novembre 	55 942
1978 	Octobre 	59 840
1978 	Septembre 	58 383
1978 	Août 	59 429
1978 	Juillet 	64 236
1978 	Juin 	64 352
1978 	Mai 	70 391
1978 	Avril 	65 767
1978 	Mars 	63 729
1978 	Février 	56 160
1978 	Janvier 	59 369
1977 	Décembre 	58 995
1977 	Novembre 	56 883
1977 	Octobre 	61 441
1977 	Septembre 	60 297
1977 	Août 	63 412
1977 	Juillet 	66 068
1977 	Juin 	66 698
1977 	Mai 	71 627
1977 	Avril 	63 785
1977 	Mars 	62 561
1977 	Février 	54 481
1977 	Janvier 	58 496
1976 	Décembre 	57 655
1976 	Novembre 	55 663
1976 	Octobre 	58 434
1976 	Septembre 	59 507
1976 	Août 	59 794
1976 	Juillet 	63 445
1976 	Juin 	63 948
1976 	Mai 	65 457
1976 	Avril 	61 643
1976 	Mars 	61 478
1976 	Février 	55 628
1976 	Janvier 	57 743
1975 	Décembre 	58 080
1975 	Novembre 	54 512
1975 	Octobre 	56 394
1975 	Septembre 	56 642
1975 	Août 	60 598
1975 	Juillet 	66 848
1975 	Juin 	65 199
1975 	Mai 	71 894
1975 	Avril 	68 355
1975 	Mars 	65 881
1975 	Février 	58 062
1975 	Janvier 	62 600
1974 	Décembre 	63 089
1974 	Novembre 	60 565
1974 	Octobre 	65 166
1974 	Septembre 	65 449
1974 	Août 	67 548
1974 	Juillet 	70 276
1974 	Juin 	66 978
1974 	Mai 	73 930
1974 	Avril 	69 910
1974 	Mars 	69 374
1974 	Février 	60 724
1974 	Janvier 	68 209
1973 	Décembre 	67 276
1973 	Novembre 	64 342
1973 	Octobre 	66 171
1973 	Septembre 	66 696
1973 	Août 	69 954
1973 	Juillet 	74 848
1973 	Juin 	74 712
1973 	Mai 	80 855
1973 	Avril 	76 926
1973 	Mars 	76 204
1973 	Février 	66 306
1973 	Janvier 	72 896
1972 	Décembre 	72 600
1972 	Novembre 	67 481
1972 	Octobre 	69 873
1972 	Septembre 	69 937
1972 	Août 	72 082
1972 	Juillet 	76 199
1972 	Juin 	75 698
1972 	Mai 	79 743
1972 	Avril 	75 391
1972 	Mars 	76 074
1972 	Février 	69 083
1972 	Janvier 	73 345
1971 	Décembre 	70 751
1971 	Novembre 	67 738
1971 	Octobre 	71 304
1971 	Septembre 	71 927
1971 	Août 	72 280
1971 	Juillet 	76 073
1971 	Juin 	74 870
1971 	Mai 	81 159
1971 	Avril 	77 515
1971 	Mars 	76 069
1971 	Février 	67 670
1971 	Janvier 	73 928
1970 	Décembre 	74 116
1970 	Novembre 	68 842
1970 	Octobre 	67 915
1970 	Septembre 	66 217
1970 	Août 	68 980
1970 	Juillet 	74 267
1970 	Juin 	73 159
1970 	Mai 	77 009
1970 	Avril 	73 170
1970 	Mars 	73 471
1970 	Février 	64 082
1970 	Janvier 	69 153
1969 	Décembre 	68 797
1969 	Novembre 	64 710
1969 	Octobre 	68 777
1969 	Septembre 	68 587
1969 	Août 	67 686
1969 	Juillet 	72 358
1969 	Juin 	70 852
1969 	Mai 	76 896
1969 	Avril 	72 018
1969 	Mars 	74 871
1969 	Février 	66 375
